Data,Chuva-Itajuba ,Nível-Itajuba
17/12/2022 23:45,0,91
17/12/2022 23:30,0,91
17/12/2022 23:15,0,91
17/12/2022 23:00,0,92
17/12/2022 22:45,0,92
17/12/2022 22:30,0,92
17/12/2022 22:15,0,93
17/12/2022 22:00,0,93
17/12/2022 21:45,0,94
17/12/2022 21:30,0,94
17/12/2022 21:15,0,94
17/12/2022 21:00,0.2,95
17/12/2022 20:45,0,95
17/12/2022 20:30,0,95
17/12/2022 20:15,0,96
17/12/2022 20:00,0,96
17/12/2022 19:45,0,96
17/12/2022 19:30,0,97
17/12/2022 19:15,0,97
17/12/2022 19:00,0,98
17/12/2022 18:45,0,98
17/12/2022 18:30,0,99
17/12/2022 18:15,0,99
17/12/2022 18:00,0,100
17/12/2022 17:45,0,101
17/12/2022 17:30,0,101
17/12/2022 17:15,0,102
17/12/2022 17:00,0,102
17/12/2022 16:45,0,103
17/12/2022 16:30,0,104
17/12/2022 16:15,0,104
17/12/2022 16:00,0,105
17/12/2022 15:45,0,105
17/12/2022 15:30,0,106
17/12/2022 15:15,0,107
17/12/2022 15:00,0,108
17/12/2022 14:45,0,109
17/12/2022 14:30,0,109
17/12/2022 14:15,0,110
17/12/2022 14:00,0,111
17/12/2022 13:45,0,111
17/12/2022 13:30,0,112
17/12/2022 13:15,0,112
17/12/2022 13:00,0,113
17/12/2022 12:45,0,114
17/12/2022 12:30,0,115
17/12/2022 12:15,0,115
17/12/2022 12:00,0,116
17/12/2022 11:45,0,116
17/12/2022 11:30,0,117
17/12/2022 11:15,0,117
17/12/2022 11:00,0,117
17/12/2022 10:45,0,117
17/12/2022 10:30,0,117
17/12/2022 10:15,0,117
17/12/2022 10:00,0,116
17/12/2022 09:45,0,115
17/12/2022 09:30,0,114
17/12/2022 09:15,0,112
17/12/2022 09:00,0,111
17/12/2022 08:45,0,109
17/12/2022 08:30,0,107
17/12/2022 08:15,0,105
17/12/2022 08:00,0,103
17/12/2022 07:45,0,101
17/12/2022 07:30,0,100
17/12/2022 07:15,0,99
17/12/2022 07:00,0,97
17/12/2022 06:45,0,96
17/12/2022 06:30,0,95
17/12/2022 06:15,0,93
17/12/2022 06:00,0,92
17/12/2022 05:45,0,91
17/12/2022 05:30,0,90
17/12/2022 05:15,0.2,89
17/12/2022 05:00,0,88
17/12/2022 04:45,0,88
17/12/2022 04:30,0.2,87
17/12/2022 04:15,0,87
17/12/2022 04:00,0.2,87
17/12/2022 03:45,0,86
17/12/2022 03:30,0.4,86
17/12/2022 03:15,0,86
17/12/2022 03:00,0.4,86
17/12/2022 02:45,0.8,86
17/12/2022 02:30,0.6,86
17/12/2022 02:15,1.2,86
17/12/2022 02:00,3.4,86
17/12/2022 01:45,1,86
17/12/2022 01:30,0.4,85
17/12/2022 01:15,0,86
17/12/2022 01:00,0,86
17/12/2022 00:45,2.8,87
17/12/2022 00:30,2.2,88
17/12/2022 00:15,0,86
17/12/2022 00:00,0,86
16/12/2022 23:45,0,86
16/12/2022 23:30,0,86
16/12/2022 23:15,0,86
16/12/2022 23:00,0,86
16/12/2022 22:45,0,86
16/12/2022 22:30,0,86
16/12/2022 22:15,0,86
16/12/2022 22:00,0,87
16/12/2022 21:45,0,87
16/12/2022 21:30,0,87
16/12/2022 21:15,0,87
16/12/2022 21:00,0,87
16/12/2022 20:45,0,87
16/12/2022 20:30,0.4,87
16/12/2022 20:15,1.2,88
16/12/2022 20:00,0.2,88
16/12/2022 19:45,0,87
16/12/2022 19:30,0,88
16/12/2022 19:15,0,88
16/12/2022 19:00,0,88
16/12/2022 18:45,0,88
16/12/2022 18:30,0,88
16/12/2022 18:15,0,88
16/12/2022 18:00,0,89
16/12/2022 17:45,0,89
16/12/2022 17:30,0,89
16/12/2022 17:15,0,89
16/12/2022 17:00,0,89
16/12/2022 16:45,0,90
16/12/2022 16:30,0,89
16/12/2022 16:15,0,89
16/12/2022 16:00,0,89
16/12/2022 15:45,0,89
16/12/2022 15:30,0,89
16/12/2022 15:15,0,89
16/12/2022 15:00,0,88
16/12/2022 14:45,0,88
16/12/2022 14:30,0,88
16/12/2022 14:15,0,88
16/12/2022 14:00,0,88
16/12/2022 13:45,0,88
16/12/2022 13:30,0,89
16/12/2022 13:15,0,89
16/12/2022 13:00,0,88
16/12/2022 12:45,0,88
16/12/2022 12:30,0,88
16/12/2022 12:15,0,88
16/12/2022 12:00,0,88
16/12/2022 11:45,0,88
16/12/2022 11:30,0,88
16/12/2022 11:15,0,87
16/12/2022 11:00,0,87
16/12/2022 10:45,0,87
16/12/2022 10:30,0,87
16/12/2022 10:15,0,87
16/12/2022 10:00,0,87
16/12/2022 09:45,0,87
16/12/2022 09:30,0,88
16/12/2022 09:15,0,88
16/12/2022 09:00,0,89
16/12/2022 08:45,0,89
16/12/2022 08:30,0,89
16/12/2022 08:15,0,90
16/12/2022 08:00,0,90
16/12/2022 07:45,0,90
16/12/2022 07:30,0,90
16/12/2022 07:15,0.2,91
16/12/2022 07:00,0,91
16/12/2022 06:45,0.2,91
16/12/2022 06:30,0,91
16/12/2022 06:15,0,91
16/12/2022 06:00,0,91
16/12/2022 05:45,0,91
16/12/2022 05:30,0,91
16/12/2022 05:15,0,90
16/12/2022 05:00,0,90
16/12/2022 04:45,0,90
16/12/2022 04:30,0,90
16/12/2022 04:15,0,90
16/12/2022 04:00,0,90
16/12/2022 03:45,0,90
16/12/2022 03:30,0,90
16/12/2022 03:15,0.2,90
16/12/2022 03:00,0,90
16/12/2022 02:45,0,91
16/12/2022 02:30,0,91
16/12/2022 01:15,0,92
16/12/2022 01:00,0,92
16/12/2022 00:45,0,92
16/12/2022 00:30,0,92
16/12/2022 00:15,0,91
16/12/2022 00:00,0.2,91
15/12/2022 23:45,0.2,91
15/12/2022 23:30,0,90
15/12/2022 23:15,0,88
15/12/2022 23:00,0,88
15/12/2022 22:45,0,88
15/12/2022 22:30,0,88
15/12/2022 22:15,0,88
15/12/2022 22:00,0,88
15/12/2022 21:45,0,88
15/12/2022 21:30,0,88
15/12/2022 21:15,0,88
15/12/2022 21:00,0,88
15/12/2022 20:45,0,88
15/12/2022 20:30,0,88
15/12/2022 20:15,0,88
15/12/2022 20:00,0,88
15/12/2022 19:45,0,88
15/12/2022 19:30,0,88
15/12/2022 19:15,0,89
15/12/2022 19:00,0,89
15/12/2022 18:45,0,89
15/12/2022 18:30,0,89
15/12/2022 18:15,0,89
15/12/2022 18:00,0,90
15/12/2022 17:45,0,90
15/12/2022 17:30,0,90
15/12/2022 17:15,0,91
15/12/2022 17:00,0,91
15/12/2022 16:45,0,91
15/12/2022 16:30,0,91
15/12/2022 16:15,0,91
15/12/2022 16:00,0,91
15/12/2022 15:45,0,91
15/12/2022 15:30,0,91
15/12/2022 15:15,0,91
15/12/2022 15:00,0,90
15/12/2022 14:45,0,90
15/12/2022 14:30,0,90
15/12/2022 14:15,0,90
15/12/2022 14:00,0,90
15/12/2022 13:45,0,90
15/12/2022 13:30,0,91
15/12/2022 13:15,0,91
15/12/2022 13:00,0,91
15/12/2022 12:45,0,90
15/12/2022 12:30,0,91
15/12/2022 12:15,0,91
15/12/2022 12:00,0,91
15/12/2022 11:45,0,91
15/12/2022 11:30,0,91
15/12/2022 11:15,0,91
15/12/2022 11:00,0,91
15/12/2022 10:45,0,91
15/12/2022 10:30,0,91
15/12/2022 10:15,0,91
15/12/2022 10:00,0,92
15/12/2022 09:45,0,92
15/12/2022 09:30,0,92
15/12/2022 09:15,0,92
15/12/2022 09:00,0,93
15/12/2022 08:45,0,93
15/12/2022 08:30,0,93
15/12/2022 08:15,0,94
15/12/2022 08:00,0,94
15/12/2022 07:45,0,94
15/12/2022 07:30,0,94
15/12/2022 07:15,0,94
15/12/2022 07:00,0,94
15/12/2022 06:45,0,94
15/12/2022 06:30,0,94
15/12/2022 06:15,0,94
15/12/2022 06:00,0,94
15/12/2022 05:45,0,94
15/12/2022 05:30,0,94
15/12/2022 05:15,0,95
15/12/2022 05:00,0,95
15/12/2022 04:45,0,95
15/12/2022 04:30,0,95
15/12/2022 04:15,0,96
15/12/2022 04:00,0,96
15/12/2022 03:45,0,96
15/12/2022 03:30,0,97
15/12/2022 03:15,0,97
15/12/2022 03:00,0,97
15/12/2022 02:45,0,97
15/12/2022 02:30,0,98
15/12/2022 02:15,0,98
15/12/2022 02:00,0,98
15/12/2022 01:45,0,99
15/12/2022 01:30,0,99
15/12/2022 01:15,0,99
15/12/2022 01:00,0,100
15/12/2022 00:45,0,100
15/12/2022 00:30,0,101
15/12/2022 00:15,0,101
15/12/2022 00:00,0,101
14/12/2022 23:45,0,102
14/12/2022 23:30,0,102
14/12/2022 23:15,0,102
14/12/2022 23:00,0,103
14/12/2022 22:45,0,103
14/12/2022 22:30,0,103
14/12/2022 22:15,0,104
14/12/2022 22:00,0,104
14/12/2022 21:45,0,105
14/12/2022 21:30,0,105
14/12/2022 21:15,0,105
14/12/2022 21:00,0,105
14/12/2022 20:45,0,105
14/12/2022 20:30,0,105
14/12/2022 20:15,0,106
14/12/2022 20:00,0,106
14/12/2022 19:45,0,107
14/12/2022 19:30,0,107
14/12/2022 19:15,0,108
14/12/2022 19:00,0,108
14/12/2022 18:45,0,109
14/12/2022 18:30,0,109
14/12/2022 18:15,0,110
14/12/2022 18:00,0,110
14/12/2022 17:45,0,111
14/12/2022 17:30,0,111
14/12/2022 17:15,0,111
14/12/2022 17:00,0,112
14/12/2022 16:45,0,112
14/12/2022 16:30,0,113
14/12/2022 16:15,0,113
14/12/2022 16:00,0,113
14/12/2022 15:45,0,113
14/12/2022 15:30,0,113
14/12/2022 15:15,0,113
14/12/2022 15:00,0,113
14/12/2022 14:45,0,113
14/12/2022 14:30,0,112
14/12/2022 14:15,0,112
14/12/2022 14:00,0,112
14/12/2022 13:45,0,112
14/12/2022 13:30,0,112
14/12/2022 13:15,0,113
14/12/2022 13:00,0,113
14/12/2022 12:45,0,113
14/12/2022 12:30,0,114
14/12/2022 12:15,0,115
14/12/2022 12:00,0,115
14/12/2022 11:45,0,116
14/12/2022 11:30,0,117
14/12/2022 11:15,0,117
14/12/2022 11:00,0,119
14/12/2022 10:45,0,119
14/12/2022 10:30,0,120
14/12/2022 10:15,0,121
14/12/2022 10:00,0,122
14/12/2022 09:45,0,123
14/12/2022 09:30,0,124
14/12/2022 09:15,0,125
14/12/2022 09:00,0,126
14/12/2022 08:45,0,127
14/12/2022 08:30,0,128
14/12/2022 08:15,0,129
14/12/2022 08:00,0,131
14/12/2022 07:45,0,131
14/12/2022 07:30,0,132
14/12/2022 07:15,0,133
14/12/2022 07:00,0,133
14/12/2022 06:45,0,133
14/12/2022 06:30,0,134
14/12/2022 06:15,0,134
14/12/2022 06:00,0,134
14/12/2022 05:45,0,133
14/12/2022 05:30,0,133
14/12/2022 05:15,0,132
14/12/2022 05:00,0,131
14/12/2022 04:45,0,131
14/12/2022 04:30,0,130
14/12/2022 04:15,0,130
14/12/2022 04:00,0,129
14/12/2022 03:45,0,129
14/12/2022 03:30,0,130
14/12/2022 03:15,0,130
14/12/2022 03:00,0,130
14/12/2022 02:45,0,131
14/12/2022 02:30,0,132
14/12/2022 02:15,0,132
14/12/2022 02:00,0,132
14/12/2022 01:45,0,133
14/12/2022 01:30,0,133
14/12/2022 01:15,0,134
14/12/2022 01:00,0,134
14/12/2022 00:45,0,135
14/12/2022 00:30,0,135
14/12/2022 00:15,0,136
14/12/2022 00:00,0,136
13/12/2022 23:45,0,136
13/12/2022 23:30,0,136
13/12/2022 23:15,0,137
13/12/2022 23:00,0,136
13/12/2022 22:45,0,136
13/12/2022 22:30,0,136
13/12/2022 22:15,0,135
13/12/2022 22:00,0,134
13/12/2022 21:45,0,134
13/12/2022 21:30,0,132
13/12/2022 21:15,0,131
13/12/2022 21:00,0,129
13/12/2022 20:45,0,127
13/12/2022 20:30,0,125
13/12/2022 20:15,0,123
13/12/2022 20:00,0,120
13/12/2022 19:45,0,117
13/12/2022 19:30,0,114
13/12/2022 19:15,0,110
13/12/2022 19:00,0,107
13/12/2022 18:45,0,104
13/12/2022 18:30,0,102
13/12/2022 18:15,0,100
13/12/2022 18:00,0,98
13/12/2022 17:45,0.2,97
13/12/2022 17:30,0.6,96
13/12/2022 17:15,0.6,95
13/12/2022 17:00,1,94
13/12/2022 16:45,1.6,94
13/12/2022 16:30,0.8,92
13/12/2022 16:15,2.6,92
13/12/2022 16:00,2,91
13/12/2022 15:45,1.6,91
13/12/2022 15:30,5.8,91
13/12/2022 15:15,5.6,91
13/12/2022 15:00,1.8,88
13/12/2022 14:45,0.2,87
13/12/2022 14:30,0,87
13/12/2022 14:15,0,87
13/12/2022 14:00,0,87
13/12/2022 13:45,0,87
13/12/2022 13:30,0,87
13/12/2022 13:15,0,88
13/12/2022 13:00,0,88
13/12/2022 12:45,0,88
13/12/2022 12:30,0,88
13/12/2022 12:15,0,88
13/12/2022 12:00,0,88
13/12/2022 11:45,0,88
13/12/2022 11:30,0,89
13/12/2022 11:15,0,89
13/12/2022 11:00,0,89
13/12/2022 10:45,0,89
13/12/2022 10:30,0,89
13/12/2022 10:15,0,90
13/12/2022 10:00,0,89
13/12/2022 09:45,0,90
13/12/2022 09:30,0,90
13/12/2022 09:15,0,90
13/12/2022 09:00,0,90
13/12/2022 08:45,0,90
13/12/2022 08:30,0,90
13/12/2022 08:15,0,91
13/12/2022 08:00,0,91
13/12/2022 07:45,0,91
13/12/2022 07:30,0,91
13/12/2022 07:15,0,91
13/12/2022 07:00,0,92
13/12/2022 06:45,0,92
13/12/2022 06:30,0,92
13/12/2022 06:15,0,92
13/12/2022 06:00,0,92
13/12/2022 05:45,0,93
13/12/2022 05:30,0,93
13/12/2022 05:15,0,93
13/12/2022 05:00,0,94
13/12/2022 04:45,0,94
13/12/2022 04:30,0,94
13/12/2022 04:15,0,95
13/12/2022 04:00,0,95
13/12/2022 03:45,0,95
13/12/2022 03:30,0,96
13/12/2022 03:15,0,96
13/12/2022 03:00,0,97
13/12/2022 02:45,0,97
13/12/2022 02:30,0,98
13/12/2022 02:15,0,98
13/12/2022 02:00,0,99
13/12/2022 01:45,0,99
13/12/2022 01:30,0,100
13/12/2022 01:15,0,100
13/12/2022 01:00,0,101
13/12/2022 00:45,0,102
13/12/2022 00:30,0,103
13/12/2022 00:15,0,103
13/12/2022 00:00,0,104
12/12/2022 23:45,0,105
12/12/2022 23:30,0,106
12/12/2022 23:15,0,106
12/12/2022 23:00,0,107
12/12/2022 22:45,0,108
12/12/2022 22:30,0,109
12/12/2022 22:15,0,109
12/12/2022 22:00,0,110
12/12/2022 21:45,0,111
12/12/2022 21:30,0,112
12/12/2022 21:15,0,112
12/12/2022 21:00,0,113
12/12/2022 20:45,0,113
12/12/2022 20:30,0,113
12/12/2022 20:15,0.2,114
12/12/2022 20:00,0.2,114
12/12/2022 19:45,1.8,113
12/12/2022 19:30,0,112
12/12/2022 19:15,0,112
12/12/2022 19:00,0,111
12/12/2022 18:45,0,109
12/12/2022 18:30,0,108
12/12/2022 18:15,0,107
12/12/2022 18:00,0,106
12/12/2022 17:45,0,105
12/12/2022 17:30,0,104
12/12/2022 17:15,0,104
12/12/2022 17:00,0,103
12/12/2022 16:45,0.2,103
12/12/2022 16:30,0,104
12/12/2022 16:15,0,104
12/12/2022 16:00,0,105
12/12/2022 15:45,0,106
12/12/2022 15:30,0,106
12/12/2022 15:15,0,107
12/12/2022 15:00,0,108
12/12/2022 14:45,0,109
12/12/2022 14:30,0,110
12/12/2022 14:15,0,110
12/12/2022 14:00,0,111
12/12/2022 13:45,0,112
12/12/2022 13:30,0,113
12/12/2022 13:15,0,114
12/12/2022 13:00,0,114
12/12/2022 12:45,0,115
12/12/2022 12:30,0,116
12/12/2022 12:15,0,117
12/12/2022 12:00,0,117
12/12/2022 11:45,0,117
12/12/2022 11:30,0,117
12/12/2022 11:15,0,116
12/12/2022 11:00,0,115
12/12/2022 10:45,0,113
12/12/2022 10:30,0,111
12/12/2022 10:15,0,108
12/12/2022 10:00,0,106
12/12/2022 09:45,0,103
12/12/2022 09:30,0,100
12/12/2022 09:15,0,98
12/12/2022 09:00,0,97
12/12/2022 08:45,0,95
12/12/2022 08:30,0,94
12/12/2022 08:15,0,94
12/12/2022 08:00,0,93
12/12/2022 07:45,0,92
12/12/2022 07:30,0,92
12/12/2022 07:15,0.2,92
12/12/2022 07:00,0,91
12/12/2022 06:45,0.4,91
12/12/2022 06:30,1.8,91
12/12/2022 06:15,1.2,91
12/12/2022 06:00,1.8,91
12/12/2022 05:45,5.2,91
12/12/2022 05:30,1.6,90
12/12/2022 05:15,2,88
12/12/2022 05:00,0,87
12/12/2022 04:45,0,87
12/12/2022 04:30,0,87
12/12/2022 04:15,0,87
12/12/2022 04:00,0,87
12/12/2022 03:45,0,88
12/12/2022 03:30,0,88
12/12/2022 03:15,0,88
12/12/2022 03:00,0,89
12/12/2022 02:45,0,89
12/12/2022 02:30,0,89
12/12/2022 02:15,0,89
12/12/2022 02:00,0,89
12/12/2022 01:45,0,89
12/12/2022 01:30,0,89
12/12/2022 01:15,0,89
12/12/2022 01:00,0,89
12/12/2022 00:45,0,89
12/12/2022 00:30,0,89
12/12/2022 00:15,0,89
12/12/2022 00:00,0,89
11/12/2022 23:45,0,89
11/12/2022 23:30,0,89
11/12/2022 23:15,0,89
11/12/2022 23:00,0,89
11/12/2022 22:45,0,90
11/12/2022 22:30,0,90
11/12/2022 22:15,0,90
11/12/2022 22:00,0,90
11/12/2022 21:45,0,91
11/12/2022 21:30,0,91
11/12/2022 21:15,0,91
11/12/2022 21:00,0,91
11/12/2022 20:45,0,91
11/12/2022 20:30,0,92
11/12/2022 20:15,0,92
11/12/2022 20:00,0,92
11/12/2022 19:45,0,92
11/12/2022 19:30,0,92
11/12/2022 19:15,0,93
11/12/2022 19:00,0,93
11/12/2022 18:45,0,93
11/12/2022 18:30,0,94
11/12/2022 18:15,0,94
11/12/2022 18:00,0,94
11/12/2022 17:45,0,94
11/12/2022 17:30,0,94
11/12/2022 17:15,0,94
11/12/2022 17:00,0,94
11/12/2022 16:45,0,94
11/12/2022 16:30,0,95
11/12/2022 16:15,0,95
11/12/2022 16:00,0,96
11/12/2022 15:45,0,96
11/12/2022 15:30,0,97
11/12/2022 15:15,0,97
11/12/2022 15:00,0,98
11/12/2022 14:45,0,98
11/12/2022 14:30,0,98
11/12/2022 14:15,0,99
11/12/2022 14:00,0,100
11/12/2022 13:45,0,100
11/12/2022 13:30,0,100
11/12/2022 13:15,0,101
11/12/2022 13:00,0,101
11/12/2022 12:45,0,101
11/12/2022 12:30,0,102
11/12/2022 12:15,0,102
11/12/2022 12:00,0,102
11/12/2022 11:45,0,102
11/12/2022 11:30,0,102
11/12/2022 11:15,0,102
11/12/2022 11:00,0,102
11/12/2022 10:45,0,102
11/12/2022 10:30,0,102
11/12/2022 10:15,0,102
11/12/2022 10:00,0,102
11/12/2022 09:45,0,102
11/12/2022 09:30,0,102
